region,county,description
lake-superior,Taylor,"The Chequamegon-Nicolet National Forest covers more than one-third of Taylor County, providing unlimited opportunities for hiking, camping, bird and wildlife watching, fishing and hunting. The county’s 100 lakes, including the <strong>Mondeaux Flowage</strong>, add another dimension of water recreation.<br><br>In Medford, the county seat, you can visit the <strong>Taylor County Historical Museum</strong> (715/748-3808, www.medfordwis.com) featuring local history, including logging and the military history of the 724th engineering battalion. The city is also the southern trailhead for the <strong>Pine Line Recreation Trail</strong> (800/269-4505, www.medfordwis.com), a 26-mile railbed trail that runs north to Prentice in Price County. In Gilman City Park you can cross the Yellow River on a swinging bridge, the only surviving swinging bridge in the state. West of Rib Lake, visit the <strong>Gerstberger Pines</strong> for a look at a true remnant of old-growth forest. The county also boasts sixty miles of the Ice Age Trail, the trail's longest unbroken stretch."
lake-superior,Vilas,"Vilas County spreads across the top of Wisconsin like a blue and green patterned-carpet. With more than 1,300 lakes, 73 rivers and streams, and a half-million acres of forestland, the county is the heart of Wisconsin's famous Lakeland Vacationland. In Manitowish Waters, the <strong>North Lakeland Discovery Center</strong> (877/543-2085, www.discoverycenter.net) offers skill programs and 20 kilometers of trails for hiking, biking, X-C skiing, snowshoeing and wildlife watching. The 200,000-acre <strong>Northern Highland/American Legion State Forest</strong> (715/385-2727, www.wiparks.net) is headquartered in Boulder Junction.<br><br>The <strong>Vilas County Historical Society Museum</strong> (715/542-3388, www.northern-wisconsin.com/museum/index.html) in Sayner displays the world's first snowmobile. In Eagle River, bring the kids to the <strong>Northwoods Children's Museum</strong> (715/479-4623, www.northwoodschildrensmuseum.com) for family fun in their mini-log cabin and fishing pond."
lake-superior,Washburn,"Some 900 lakes sparkle within the borders of Washburn County in northwestern Wisconsin. In Spooner, you can ride in elegant, refurbished railroad cars dating from 1910-30 on the <strong>Wisconsin Great Northern Railroad</strong> (715/635-3200, www.spoonertrainride.com). Spooner is also the home of the <strong>Railroad Memories Museum</strong> (715/635-3325, www.spoonerwi.com), displaying railway artifacts, photos, videos, equipment, and model trains in the former C&NW depot. You can tour the largest musky-rearing hatchery in the world; the <strong>Governor Tommy G. Thompson State Fish Hatchery</strong> (715/635-4147, www.spoonerwi.com).<br><br>In Shell Lake, just south of Spooner, the <strong>Museum of Woodcarving</strong> (715/468-7100, www.washburncounty.com) displays 100 life-sized carvings depicting the life of Christ, including 'The Last Supper.' In Trego, just north of Spooner, arrange to canoe or 'tube' down the scenic <strong>Namekagon River</strong>."
mississippi,Buffalo,"Buffalo County's tourism focus is a string of four<br>charming small tow ns along the M ississippi River.<br>You can catch them all simply by driving Hw y. 35.<br>Start w ith Fountain City in southern Buffalo<br>County. The tow n offers pleasant vistas of the river<br>from its characteristic terraced gardens. Nearby,<br>550-foot Eagle Bluff is the highest point on the<br>Upper M ississippi. Just north of town, Merrick<br>State Park is small (320 acres, 69 campsites) but a<br>haven for river anglers (608/687-4936, w w w.w iparks.net).<br>Buffalo City/Cochrane is the gatew ay to some terrific birding<br>in the Whitman Dam State Natural Area. The Prairie M oon<br>M useum & Sculpture Garden, a fanciful, concrete-sculpted<br>w onderland, is located just south of tow n (608/687-8250,<br>w w w.kohlerfoundation.org/rusch.html).<br>The riverfront tow n of Alma has only tw o streets, but they<br>stretch for seven miles beneath the steep bluffs of the<br>M ississippi. The city's Buena Vista Park sits atop those bluffs<br>and offers spectacular view s. Lock & Dam No. 4 is a popular<br>spot to w atch the river's barge traffic lock-through. Just north of<br>tow n, across the Buffalo River, the observation deck at Rieck's<br>Lake Park gets crow ded in the fall w ith birders w atching the<br>annual migration of Tundra Sw ans.<br>Nelson, in northern Buffalo County, attracts visitors for that<br>most W isconsin of reasons  cheese. The Nelson Cheese<br>Factory packs em in for cheddar, Colby, M onterey jack and<br>fresh cheese curds (715/673-4725)."
mississippi,Chippewa,"When you come birding in Chippew a County, bring all your other outdoor gear as well. Bikes, boats, snow mobiles, ATVs, hunting, fishing and camping gear, hiking boots, cross-country skis you can use it all here.<br><br><strong>Lake Wissota</strong> and <strong>Brunet Island State Parks</strong> total 150 campsites between them; the <strong>Old Abe State Trail</strong> offers 20 miles of railbed biking and hiking; and the <strong>Chippew a Moraine Recreation Area</strong> is a trailhead and interpretive center for the 1,000-mile National Ice Age Trail. In the northeastern corner of the county, <strong>Lake Holcombe</strong>is a perennial summer playground w ith 3,890-acres of water fun. <strong>Lake Wissota</strong> in the southwest is 6,300 acres and is renowen for its bass and walleye fishing.<br><br>On the western shore of Lake Wissota is Chippew a Falls, the county seat. The oldest business in town is the Jacob <strong>Leinenkugel Brewing Company</strong>. Visit the brewery's brand new visitor's center, tour the brewery and sample the beer (888/534-6437, www.leinie.com). Other tour opportunities in town include the <strong>Cook-Rutledge Mansion.</strong> Built in 1873, it's one of the finest examples of High Victorian-Italianate architec-<br>ture in the M idw est (715/723-7181,<br>w w w.chippew achamber.org)."
mississippi,Crawford,"Knit together by meandering rivers and trout-filled<br>streams, Craw ford County in southw estern<br>W isconsin is aw ash in history.<br>Prairie du Chien, the county seat, straddles the<br>confluence of the M ississippi and W isconsin Rivers.<br>At the Hw y. 18 bridge, stop at the Wisconsin<br>Welcome Center (WCC) for free trip planning,<br>statew ide travel brochures, maps and a friendly<br>smile (608/326-2241, www.travelw isconsin.com).<br>Prairie du Chien's varied history is captured in a number of<br>intriguing historic sites. Perhaps the most notable is the gracious<br>Villa Louis, the Victorian country estate of the Dousman family,<br>W isconsin's first millionaires (866/944-7483, w w w.wisconsinhis-<br>tory.org/villalouis). The city is also the site of one of three his-<br>toric pre-civil War forts built and operated by the US Army in<br>W isconsin. Tour the Fort Craw ford M useum for more local<br>history (608/326-6960, w w w.fortcraw fordmuseum.com). If<br>you're more outdoorsman than historian, there's a Cabela's<br>retail store in tow n w ith everything for the hunter, angler and<br>camper (608/326-5600, w w w.cabelas.com).<br>About tw elve miles upstream, just south of Lynxville, you can<br>stop at Lock & Dam No. 9 to w atch river barges and pleasure<br>craft lock-through.<br>In Wauzeka, tour the Kickapoo Indian Caverns, the largest<br>subterranean caverns in the state (608/875-7723,<br>w w w.kickapooindiancaverns.com)."
mississippi,Dunn,"Dunn County is a nice blend of tourism, agricul-<br>ture and industry. M enomonie, the county seat, is<br>an important hub made more so by UW-Stout<br>w hose 7,500 students are half the city's popula-<br>tion. The vital dow ntow n is anchored by the his-<br>toric M abel Tainter M emorial Theatre, now lov-<br>ingly restored to its 1889 splendor with an art<br>gallery, reading room and 313-seat theater<br>(800/236-7675, www.mabeltainter.com). The<br>Russell J. Rassbach Heritage M useum displays a series of<br>themed exhibits that illuminate Dunn County history (715/232-<br>8685, w w w.discover-net.net/~dchs). Nearby, the city's Wakanda<br>Water Park, w ith its w aterslides and fountains, is a great place<br>to beat summer's heat.<br>The Red Cedar River transects Dunn County and is a popu-<br>lar tubing river. You can also bike the Red Cedar State Trail, a<br>14-mile former railbed trail from M enomonie south to its junc-<br>tion w ith the Chippew a River State Trail (715/232-1242,<br>w w w.w iparks.net). As you ride, you'll pass Dow nsville, home of<br>Empire in Pine, a lumber-era museum w ith a village jail, post<br>office and blacksmith shop (715/664-8690, w w w.discover-<br>net.net/~dchs)."
mississippi,Eau Claire,"According to local legend, French voyageur<br>Jonathan Carver first shouted  L'Eau Claire<br>( clear w ater ) in 1767 and so named the county,<br>city and river. The county's ten lakes and 161 miles<br>of trout streams maintain that  clear w ater lega-<br>cy.<br>The city of Eau Claire is also the county seat.<br>Carson Park is one of the city's outdoor jewels. Its<br>134 acres house the Chippew a Valley Museum,<br>an aw ard-w inning regional museum w ith outstanding Native<br>American and local history dioramas (715/834-7871,<br>w w w.cvmuseum.com). Next door, tour the Paul Bunyan<br>Logging Camp, an authentic reproduction of an 1890's original<br>(715/835-6200, w w w.paulbunyancamp.org). The Fanny Hill<br>Victorian Inn and Dinner Theatre is a delightful restaurant<br>and B&B w ith professional dinner theater performances<br>(800/292-8026, w w w.fannyhill.com).<br>Eighteen miles to the east, Augusta is a much smaller, but<br>no less interesting destination. The community includes an<br>Amish settlement of more than 150 families. Their handcrafted<br>goods are sold at the Wood Shed (715/286-5404). Just north<br>of tow n is the remarkable Dells M ill, a flour mill built in 1864<br>entirely of w ood, including gears and pulleys (715/286-2714)."
mississippi,Grant,"Grant County fills the southw estern corner of<br>W isconsin w here the M ississippi River sculpts the<br>state's border in a great sw eeping  S turn. The<br>attractions here are many. Start your trip at the<br>Wisconsin Welcome Center on Hw y. 151/61 just<br>north of the Hw y. 11 interchange w here you'll find<br>plenty of free travel advice, literature, maps and<br>directions (608/748-4484, www.travelwisconsin.com).<br>Along the M ississippi stop in Dickeyville at a<br>remarkable and fanciful bit of concrete folk art, the Dickeyville<br>Grotto (608/568-3119, w w w.dickeyville.com). Follow Hw y. 35 a<br>bit further north to Potosi to see the St. John Lead M ine,<br>w here you can don a hard hat and tour this once ore-rich cave<br>(608/763-2121). Drive on to Cassville w here you can camp<br>along the bluffs of Nelson Dew ey State Park (608/725-5374,<br>w w w.w iparks.net). You can also visit Stonefield, a replica of an<br>1890's rural W isconsin village (866/944-7483, w w w.w isconsin-<br>history.org/stonefield). In the far northw estern corner of the<br>county, the view s from the river bluffs above Wyalusing State<br>Park are special (888/947-2757, w w w.w iparks.net).<br>In the north, Fennimore offers the Fennimore Doll and Toy<br>M useum (888/867-7935) and the Fennimore Railroad<br>M useum w ith its narrow guage steam engine and miniature<br>train ride (800/822-1131.)<br>In the southeastern corner of the county, Platteville is home<br>to UW-Platteville as w ell as the M ining M useum & Rollo<br>Jamison M useum (608/348-3301, w w w.platteville.com). Here<br>you can descend into an 1845 lead mine, ride a 1931 mine"
mississippi,Jackson,"W ith nearly a third of its land in state and county<br>forests, Jackson County is a recreational bonanza in<br>the center of the state. There's something for every-<br>one, and everyone's toys.<br>The Black River State Forest (715/284-4103,<br>w w w.w iparks.net) alone covers 67,000 acres offer-<br>ing 34 miles of horseback riding trails, 33 miles of<br>mountain bike trails, 33 miles of ATV trails, 51 miles<br>of snow mobile trails, 27 miles of hiking trails, 24<br>miles of X-C ski trails, backpacking and 98 family campsites.<br>County forestlands cover another 118,000 acres w ith many<br>camping and day-use options.<br>The county promotes 100 miles of ATV/motorcycle trails.<br>There are tw o excellent canoe trails mapped and marked on the<br>Black River. The Wazee Lake Recreation Area encompasses<br>3,000 acres on w hat w as a former iron mine. Wazee Lake, the<br>former mine site, covers 150 acres and is 355-feet deep,<br>W isconsin's deepest. The w ater clarity makes it one of the finest<br>scuba diving lakes in the M idw est.<br>Black River Falls is the county seat. You can catch a little<br>excitement at M ajestic Pines Hotel, Bingo & Casino<br>(800/657-4621, w w w.mpcw in.com). To w et your w histle, stop<br>at the Pioneer Brew ing Company in the historic 1856<br>Oderholz Brew ery building for a tour and a taste (715/284-<br>7553, w w w.cuttingedge.net/~pioneer)"
mississippi,La Crosse,"M uch of La Crosse County is a maze of steep ridge-<br>lines and valleys know n as  coulee country. It's a<br>part of W isconsin that w as not flattened by the last<br>glacier some 14,000 years ago. It's w ooded, seclud-<br>ed, and less traveled  practically perfect for birding.<br>In La Crosse, stop at the Wisconsin Welcome<br>Center on I-90 (eastbound) for free, statew ide trav-<br>el literature, maps, directions and advice (608/783-<br>6403, w w w.travelw isconsin.com). Grandad Bluff, a<br>beautiful park atop the bluffs flanking La Crosse, offers<br>Grandad Bluff, a beautiful park atop those bluffs, offers a<br>stunning view of three states: W isconsin, M innesota and Iow a.<br>Classic steam paddlew heelers still ply the river here: enjoy a<br>cruise aboard the La Crosse Queen (608/784-8523,<br>w w w.greatriver.com/laxqueen), or the Julia Belle Sw ain<br>(800/815-1005, w w w.juliabelle.com). City Brew ery, once the<br>Heileman's Old Style Brew ery, offers tours (608/785-4283,<br>w w w.citybrew ery.com). Historians w ill like Hixon House, the<br>Victorian home of a former lumber baron (608/782-1980). The<br>kids w ill like the Children's M useum of La Crosse (608/784-<br>2652, w w w.childmuseumlax.org).<br>Just north of I-90, Onalaska is a central trailhead for a pair<br>of railbed biking trails: the Great River State Trail and the<br>La Crosse River State Trail (608/781-9570, w w w.w iparks.net)."
mississippi,Pepin,"Pepin County is defined by Lake Pepin, a 28-mile-<br>long, three-mile-w ide bulge in the M ississippi<br>River. This natural lake is one of the most popular<br>sailing and boating sections on the Upper<br>M ississippi. It is formed by the delta of the<br>Chippew a River, w hich backs-up the Mississippi<br>much like a natural dam.<br>Pepin is also famous as the hometow n of Little<br>House in the Big Woods author Laura Ingalls<br>W ilder, w ho w as born on a farm near here in 1867. The tow n<br>celebrates its W ilder legacy year-round at the Laura Ingalls<br>Wilder M useum (800/442-3011, w w w.pepinw isconsin.com),<br>and at a w ayside replica of the W ilder  little house. In<br>September,  Laura Days brings special readings, look-alike con-<br>tests, food and fun. The tow n's logging, steamboating and rail-<br>road history is hold in the Pepin Depot M useum (715/442-<br>6501, w w w.pepinw isconsin.com).<br>Aw ay from the M ississippi, the county follow s the Chippew a<br>River inland to Durand, the county seat, w here you'll find a pair<br>of boat launches on the river, a golf course and a city sw imming<br>pool. Durand is also the w estern trailhead for the Chippew a<br>River State Trail, a 29.5-mile biking/hiking trail that follow s the<br>river all the w ay to Eau Claire (888/523-3866,<br>w w w.w iparks.net)."
mississippi,Pierce,"Pierce County is rivers; seven rivers and eight<br>creeks, to be exact. Walleye, bass and panfish<br>action is good on the M ississippi, w hile the coun-<br>ty's Kinnickinnic and Rush Rivers are a pair of the<br>finest trout w aters in the M idw est.<br>The M ississippi and St. Croix Rivers form the<br>county's w estern border. They meet at Prescott.<br>From an overlook in Mercord Mill Park dow n-<br>tow n, visitors can clearly see the line w here the<br>blue w aters of the St. Croix join the dun-colored M ississippi. The<br>city's Welcome & Heritage Center is a good place to get area<br>travel information and see exhibits of local history (715/262-<br>3284, w w w.prescottw i.com).<br>In the northw estern corner of the county, Kinnickinnic<br>State Park is popular w ith boaters w ho enjoy the large, sandy<br>delta w here the Kinnickinnic meets the M ississippi River<br>(715/425-1129, w w w.w iparks.net). In the county's northeastern<br>corner, visit Crystal Cave just south of Spring Valley (800/236-<br>2283, w w w.cavern.com/crystalcave). Open April though<br>October, the cave descends about seventy feet and is nearly<br>4,000 feet long, the longest in W isconsin."
mississippi,St. Croix,"St. Croix County is, in many w ays, W isconsin's<br>w estern gatew ay. At Hudson, I-94 links the<br>metro-M inneapolis market w ith the lake country<br>of northw estern W isconsin. The Wisconsin<br>Welcome Center in Hudson is a great place for<br>statew ide and area travel information (715/386-<br>2571, w w w.travelw isconsin.com).<br>Hudson is both a center for recreation w ith<br>boating, fishing and sw imming, and a historic site<br>w ith picturesque Victorian houses and parks. The center of the<br>tow n's historic district is Octagon House, built in 1855 and<br>now a museum (715/386-2654). The city's thriving dow ntow n is<br>graced by the Phipps Center for the Arts (715/386-2305,<br>w w w.thephipps.org).<br>North of Hudson, Somerset is a fun place, particularly on hot<br>summer days. Tubing on the Apple River has been Somerset's<br>bread-and-butter for decades. You'll find a half-dozen friendly<br>tubing outfitters and campgrounds.<br>In northeastern St. Croix County, the New Richmond<br>Heritage Center show cases local history in a complex that<br>includes an 1884 farmhouse and eight other historic buildings<br>(888/320-3276, w w w.pressenter.com/~nrpsinc/). In Star Prairie,<br>you can tour the Star Prairie Trout Farm (715/248-3633,<br>w w w.starprairietrout.com). For a fee you can catch their brook<br>and rainbow trout."
