county,Name,SymbolID,site_desc,lon,lat
Bayfield,15. Northern Great Lakes Visitor Center,0,"A 37,000 sq. ft, $7 million facility with an observation tower, viewing platform, 100-seat theater, interpretive and historic exhibits, and regional visitor information & trip planning for Wisconsin, Minnesota and Michigan's UP. The Center's 180-acre site is comprised of lowland cedar and black ash, open fields, upland aspen, pine, spruce and balsam. An accessible 2/3-mile boardwalk trail system with two loops winds through the cedar and tamarack wetlands. The Center property is adjacent to the Whittlesey Creek National Wildlife Refuge. <br><br><strong>
<b>Phone:</b></strong> 715/685-9983 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.northerngreatlakescenter.org' target='_blank'>https://www.northerngreatlakescenter.org</a> <br><br><strong>Signature Species:</strong> Migratory raptors, Bald Eagle, and spring warblers. Center staff can recommend other area birding spots. <br><br><strong>
<b>Hours:</b></strong> 9am-5pm daily. <br><br><strong>Accessibility:</strong> Center is fully accessible, as is the 2/3-mile boardwalk trail system. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Ashland, 3 miles east.",-90.960789,46.586002
Bayfield,16. Port Wing Boreal Forest State Natural Area East,0,"This natural area features two units of northern dry-mesic forest on sand spits inland from the Lake Superior shoreline. The forest has large white and red pines that form a super-canopy over white spruce, balsam fir, red maple, white birch, mountain maple, yellow birch and white cedar. The ground layer contains blueberries, large-leaved aster, and several club-mosses. Between the forested sand spit and beach to the north is a sedge meadow, shrub swamp, and bog. The wetland area is an extension of the estuary of the Flag River, which separates the two units. <br><br><strong>
<b>Phone:</b></strong> 715/372-4866 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna/' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna/</a> <br><br><strong>Signature Species:</strong> Blackburnian, Black-and-White, and Northern Parula Warblers. <br><br><strong>Rare Species:</strong> Black meadowhawk dragonfly and bog copper butterfly. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Port Wing one mile east or west.",-91.364493,46.795506
Bayfield,16. Port Wing Boreal Forest State Natural Area West,0,"This natural area features two units of northern dry-mesic forest on sand spits inland from the Lake Superior shoreline. The forest has large white and red pines that form a super-canopy over white spruce, balsam fir, red maple, white birch, mountain maple, yellow birch and white cedar. The ground layer contains blueberries, large-leaved aster, and several club-mosses. Between the forested sand spit and beach to the north is a sedge meadow, shrub swamp, and bog. The wetland area is an extension of the estuary of the Flag River, which separates the two units. <br><br><strong>
<b>Phone:</b></strong> 715/372-4866 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna/' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna/</a> <br><br><strong>Signature Species:</strong> Blackburnian, Black-and-White, and Northern Parula Warblers. <br><br><strong>Rare Species:</strong> Black meadowhawk dragonfly and bog copper butterfly. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Port Wing one mile east or west.",-91.403997,46.792494
Bayfield,17. Rock Lake Trail & Non-motorized Area,0,"Rock Lake Trail is a hilly hiking and mountain biking trail that winds through 2,000 acres of mature northern mesic and dry mesic forest with some large white pine. Portions of the trail skirt several small remote lakes. Birds found in these habitats include: Scarlet Tanager, Pileated Woodpecker, Common Raven, Eastern Wood Peewee, Black throated Green Warbler, and Pine Warbler. <br><br><strong>
<b>Phone:</b></strong> 715/634-4821 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.fs.fed.us/r9/cnnf' target='_blank'>https://www.fs.fed.us/r9/cnnf</a> <br><br><strong>Rare Species:</strong> Large, round-leaved orchid. <br><br><strong>Signature Species:</strong> Loons on isolated lakes. <br><br><strong>Admission:</strong> Parking fee for the lot on Cty M is $3/day or $10/year. Golden Age Passport applies. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Cable, 7 miles west.",-91.13554,46.197181
Burnett,18. Amsterdam Sloughs State Wildlife Area,0,"Amsterdam Slough is a beautiful 6,138-acre property with marsh, flowages, swamp, and forested upland. Bird watching is good at Black Brook Flowage where you can see Great Blue Herons, Osprey and Bald Eagles. <br><br><strong>
<b>Phone:</b></strong> 715/349-2151 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Herons and Ospreys. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Siren, five miles southeast.",-92.403173,45.845035
Burnett,19. Crex Meadows State Wildlife Area,0,"A 30,000-acre wildlife area featuring restored wetlands and upland brush prairie habitats with oak/jack pine forests interspersed. The property includes 6,000 acres of open water. 270 species of birds use the property along with every mammal found in Wisconsin and a good variety of reptiles, amphibians and invertebrates. The property supports breeding populations of Osprey, Bald Eagles, Trumpeter Swans, Karner blue butterflies and Blanding's turtles. In the fall migration, as many as 50 Bald Eagles, 7,000 Sandhill Cranes and 12,000 Canada and Snow Geese fly into the area. <br><br><strong>
<b>Phone:</b></strong> 715/463-2896 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Sharp-tailed Grouse, Trumpeter Swans, Osprey and Bald Eagles. <br><br><strong>Rare Species:</strong> Tricolored Heron and White Ibis. <br><br>",-92.682192,45.794675
Burnett,20. Governor Knowles State Forest/Brant Brook Pines State Natural Area,0,"A 190-acre stand of old growth red pines along the St. Croix River estimated to have originated in the mid-1890s. The area includes many fine trout streams as well as the St. Croix National Scenic Riverway. <br><br><strong>
<b>Phone:</b></strong> 715/463-2898 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna/' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna/</a> <br><br><strong>Rare Species:</strong> Black and White Warbler, and Yellow-throated Vireo. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Grantsburg, 6 miles southeast.",-92.725983,45.861803
Burnett,21. Kiezer State Wildlife Area,0,"Kiezer is 1,352 acres of water, marsh and forested uplands with waterfowl, Ruffed Grouse, deer, American Woodcock, snowshoe hares, Bald Eagles and Osprey. You can also fish Banach Lake and Big Lake. <br><br><strong>
<b>Phone:</b></strong> 715/635-2101 <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Bald Eagles and Great Blue Herons. <br><br><strong>
<b>Seasonality:</b></strong>: Best in spring and fall. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Webster, 4 miles west.",-92.249451,45.917482
Burnett,22. Namekagon Barrens Wildlife Area Southern Unit,0,"One of the largest pine barrens in the state (5,200 acres) with some prairie and savanna, a few pockets of wetlands and a small lake. Among the scattered pines are long stretches of prairie. The property is known for Sharp-tailed Grouse, Upland Sandpipers, American Kestrels, Eastern Bluebirds and Bald Eagles. <br><br><strong>
<b>Phone:</b></strong> 715/635-2101 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Sharp-tailed Grouse. <br><br><strong>Rare Species:</strong> Upland Sandpipers and Brewer's Blackbird. <br><br><strong>
<b>Seasonality:</b></strong>: Spring, summer and fall, with fewer viewing opportunities in winter. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Danbury, 10 miles southwest.",-92.129459,46.075315
Burnett,22. Namekagon Barrens Wildlife Area Northern Unit,0,"One of the largest pine barrens in the state (5,200 acres) with some prairie and savanna, a few pockets of wetlands and a small lake. Among the scattered pines are long stretches of prairie. The property is known for Sharp-tailed Grouse, Upland Sandpipers, American Kestrels, Eastern Bluebirds and Bald Eagles. <br><br><strong>
<b>Phone:</b></strong> 715/635-2101 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Sharp-tailed Grouse. <br><br><strong>Rare Species:</strong> Upland Sandpipers and Brewer's Blackbird. <br><br><strong>
<b>Seasonality:</b></strong>: Spring, summer and fall, with fewer viewing opportunities in winter. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Danbury, 10 miles southwest.",-92.08045,46.117038
Burnett,23. Riverside Landing/St. Croix National Scenic Riverway,0,"This park is an entry and exit point for canoe and kayak enthusiasts on the St. Croix National Scenic Riverway. <br><br><strong>Signature Species:</strong> Osprey, Bald Eagle, Common Mergansers, Canada Geese and owls. <br><br><strong>
<b>Hours:</b></strong> Daylight hours. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Danbury, six miles southwest. <br><br><strong>
<b>Seasonality:</b></strong>: Best in sping, summer and fall.",-92.245159,46.078232
Douglas,24. Belden Swamp State Natural Area,0,"Belden Swamp is a 1,862-acre wetland complex owned by Douglas County. It is located between two major watersheds. This land mass forms the headwaters of the Spruce River which flows south to the Mississippi, and the Black River. The area features the largest remaining undisturbed open bog in Wisconsin. A large area of muskeg gives this area it's distinctive northern feel and the conifer swamp add to the beauty of this large wetland. <br><br><strong>
<b>Phone:</b></strong> 608/266-7012 (Wisconsin DNR) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna/' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna/</a> <br><br><strong>Signature Species:</strong> LeConte's Sparrow, Yellow-bellied Flycatcher, and Northern Harrier. <br><br><strong>Rare Species:</strong> A Timber Wolf pack. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>
<b>Seasonality:</b></strong>: Best in spring, summer & fall.",-92.165594,46.352971
Douglas,25. Brule River State Forest,0,"At 50,000 acres, this state forest is used by more species of birds and mammals than any other northern Wisconsin acreage of similar size. Its habitat includes high-quality stream, a mixture of boreal and plantation forests, and some pine barrens on the south end of the property. This varied landscape supports deer, Ruffed Grouse, geese, Bald Eagles, Osprey and songbirds. It also offers wonderful camping, canoeing and trout fishing. <br><br><strong>
<b>Phone:</b></strong> 715/372-8539 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land' target='_blank'>https://www.dnr.state.wi.us/org/land</a> <br><br><strong>Signature Species:</strong> The area has consistently produced northern raptors and Saw-whet Owls, northern songbirds such as the Cape May Warbler, Canada Warbler, and Connecticut Warbler, as well as Black-backed Woodpeckers. <br><br><strong>
<b>Seasonality:</b></strong>: Good for migrants in spring and fall, breeding birds in summer, and finches and songbirds in winter, but viewing opportunities may be limited. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Brule, two miles north.",-91.59236,46.538583
Douglas,26. Douglas County State Wildlife Area,0,"This 4,000-acre property is managed for Sharp-tailed Grouse. It is a pine barrens habitat with several small, shallow lakes and wetlands. <br><br><strong>
<b>Phone:</b></strong> 715/395-6912 <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> Sharp-tailed Grouse. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>
<b>Seasonality:</b></strong>: Best in spring, summer & fall. <br><br><strong>Accessibility:</strong> The Club House and rest rooms are handicap accessible. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Solon Springs, 5 miles north.",-91.830254,46.28658
Douglas,27. Dwight's Point & Pokegama Wetlands State Natural Area,0,"This 3,153-acre wetland lies at the confluence of the Pokegama & St. Louis Rivers on the west side of Superior. It includes boreal forest, emergent marsh, and wet clay flats supporting shrub swamp and wet meadow. The St. Louis estuary, with its steep-sided ridges and boreal forest mix, is prime habitat for Bald Eagles. <br><br><strong>
<b>Phone:</b></strong> 608/266-7012 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna</a> <br><br><strong>Signature Species:</strong> Bald Eagle. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Superior.",-92.142849,46.706322
Douglas,28. Gordon Dam Park,0,"The park is 80 acres. The Gordon Dam marks the entrance to the pristine St. Croix National Scenic Riverway. Its flowage and marshes provide excellent habitat for aquatic and terrestrial Northwoods' wildlife including white-tailed deer, bear, bobcat, snowshoe hare, coyote, red fox, timber wolf, fisher, mink, otter and beaver. <br><br><strong>
<b>Phone:</b></strong> 715/395-1330 (Douglas County) <br><strong>
<b>Website:</b> </strong> <a href='https://www.nps.gov' target='_blank'>https://www.nps.gov</a> <br><br><strong>Signature Species:</strong> Trumpeter Swan, Osprey, Bald Eagle, rails, grebes, vireos, and Common Loons. <br><br><strong>Rare Species:</strong> Trumpeter Swans. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>
<b>Seasonality:</b></strong>: Spring, summer & fall. Hwy. Y may be impassable in winter. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Solon Springs, 10 miles northeast.",-91.924152,46.252048
Douglas,29. Pattison State Park,0,"The park encompasses 1,476 acres of forested land ï¿½Eï¿½ï¿½E mostly balsam fir, birch, aspen and spruce ï¿½Eï¿½ï¿½E wetlands, a lake and rivers. It's features include: Wisconsin's highest waterfall, Big Manitou Falls, at 165 feet, a 300-foot beach on Interfalls Lake, and Little Manitou Falls, a 31-foot twin waterfall. There are 62 campsites and 9 miles of hiking trails. <br><br><strong>
<b>Phone:</b></strong> 715/399-3111 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.wiparks.net' target='_blank'>https://www.wiparks.net</a> <br><br><strong>Admission:</strong> Vehicle admission sticker required. <br><br><strong>
<b>Hours:</b></strong> Park is open daily 6am- 11pm, year round. <br><br><strong>Accessibility:</strong> The trail to Big Manitou Falls is partly accessible; the park also has accessible picnic areas, restrooms and campsites. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Superior, 12 miles north.",-92.119655,46.540307
Douglas,30. Wisconsin Point,0,"The largest freshwater sand spit (3.5 miles) in Wisconsin, the point forms sheltered Allouez Bay and the St. Louis River Estuary on Lake Superior. It contains stands of old growth pine, beach dune communities and marsh open water habitats. It is an important rest stop for many migratory birds. Most species of shorebirds are seen during migration, as are many uncommon songbirds and raptors that rest on the point before continuing their journey. <br><br><strong>
<b>Phone:</b></strong> 715/394-0270 (City of Superior) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.uncommondays.com/states/wi/places/wisconsinpoint.htm' target='_blank'>https://www.uncommondays.com/states/wi/places/wisconsinpoint.htm</a> <br><br><strong>Rare Species:</strong> In the spring and fall, Jaegers and rare Sabine's and Franklin's Gulls visit the area. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>
<b>Seasonality:</b></strong>: Best during the spring and fall migrations. <br><br><strong>Accessibility:</strong> A paved road runs the length of the point. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Superior, 4 miles southwest.",-92.011614,46.703909
