region,county,description
lake-superior,Oneida,"When you look at a map of Oneida County, you’ll
swear there’s more water than land. With 1,100
lakes, it’s easy to understand why Oneida County
has been one of Wisconsin’s top vacation destina-
tions for more than 100 years.
In the northwestern part of the county, the
greater Minocqua area is synonymous with family
fun. Tour the beautiful Willow Flowage aboard a
sightseeing or dinner excursion offered by
Wilderness Cruises (800/472-1516,
www.wildernesscuises.com). Take the kids to Peck’s Wildwood
Wildlife Park & Nature Center (715/356-5588, www.peck-
swildwood.com) where they can pet a porcupine, feed a deer,
and see hundreds of other woodland creatures. Sheer’s
Lumberjack Shows (715/634-6923, www.sheerslumberjack-
show.com) features exciting competition in log rolling, chop-
ping, sawing and climbing. In the evening, enjoy a performance
at the Northern Lights Playhouse (715/356-7173,
www.northernlightsplayhouse.com).
In the southeast, Rhinelander preserves its timber history at
the Logging Museum Complex (715/369-5004,
www.rhinelanderchamber.com), a full-scale reproduction of a
19th century logging camp with a narrow-gauge railroad. In
the northeast, you can enjoy tours and tastings at the Three
Lakes Winery (800/944-5434, www.fruitwine.com)."
lake-superior,Polk,"Wisconsin’s first state park, Interstate State Park
(715/483-3747, www.wiparks.net), is located just
south of St. Croix Falls in western Polk County.
The park is famous for its stunning bluff-top views
of the St. Croix River and its unusual glacial forma-
tions.
St. Croix Falls is also the headquarters of the
St. Croix National Scenic Riverway (715/483-
3284, www.nps.gov/sacn). The riverway traces the
St. Croix and Namekagon Rivers for more than 250 miles. Staff
at the riverway’s new multi-million dollar interpretive center will
help you plan an exciting canoe adventure on the river. The St.
Croix Festival Theatre (888/887-6002,
www.festivaltheatre.org) offers a professional, seven-show
repertoire.
Just a few miles south in Osceola you can visit Cascade
Falls, a small but very picturesque waterfall located just a block
off Main Street. You can also enjoy a ride along the sandstone
bluffs of the St. Croix River aboard a steam or diesel-powered
train operated by the Osceola & St. Croix Valley Railway
(800/711-2591, www.trainride.org)."
lake-superior,Price,"With 300,000 acres of unspoiled public land, Price
County holds many attractions for visitors.
Park Falls in northern Price County is one of
two headquarters for the 1.5-million acre
Chequamegon-Nicolet National Forest
(715/762-2461, www.fs.fed.us/r9/cnnf).
Just to the south, Fifield’s logging history is
preserved at the Old Town Hall Museum
(800/269-4505, www.pricecountywi.net). Just
south of town, the Smith Rapids Covered Bridge on the
South Fork of the Flambeau River is a popular recreation of the
town lattice design.
At Phillips in the center of the county, a fascinating collec-
tion of folk art can be found at the Wisconsin Concrete Park
(800/269-4505, www.pricecountywi.net); whimsical concrete
creations festooned with stones, shells and bits of broken glass.
In the southeastern corner of the county, near Ogema,
stands Timm’s Hill. At 1,951.5 feet above sea level, it is the
highest point in the state. The view from the observation tower
is particularly stunning in autumn."
lake-superior,Rusk,"Rusk County’s wealth of natural resources, ecolog-
ical diversity and abundant wildlife have made the
area a top destination for outdoors enthusiasts
and nature buffs.
The picturesque Blue
Hills in northwestern
Rusk County provide
recreational opportuni-
ties year-round, includ-
ing the 27-mile Blue Hills section of
the Ice Age Trail.
The county’s rivers – the
Chippewa, Flambeau, Thornapple and
Jump – offer varied canoeing chal-
lenges, great for both the pro and the
novice. Many of the crystal-clear
streams that feed these rivers are
ideal trout habitat.
At Ladysmith, the county seat, the
Rusk County Visitors Center is housed
in the city’s old railway depot – com-
plete with a static display of a diesel
locomotive and several historic passenger and freight cars. The
Rusk County Historical Society Museum (800/535-7875)
includes eleven buildings with a little red schoolhouse and an
old wooden jail."
lake-superior,Sawyer,"Sawyer County is dominated by the water
resources in its northwestern quadrant, including
the 15,000-acre Chippewa Flowage and 5,000-
acre Lac Courte Oreilles.
Hayward, the county
seat, is perhaps best
known as the home of
the National Fresh
Water Fishing Hall of
Fame (715/634-4440, www.freshwa-
ter-fishing.org). With lots of farm ani-
mals, Northwoods animals, deer, a
cougar, a Siberian Tiger and more,
Wilderness Walk Zoo & Recreation
Park (715/634-2893, www.hayward-
lakes.com/wildernesswalk.htm) is
another great family idea.
Bring your clubs; Hayward fancies itself the “Golf Capital of
Wisconsin” with eighteen courses within an hour’s drive of the
city. To the east, Winter is the headquarters of the Flambeau
River State Forest (715/332-5271, www.wiparks.net), 90,000
acres of wilderness with ATV and biking trails, boating, fishing,
hiking and 60 campsites.
American Elk.
MIKE MCDOWELL"
lake-superior,Taylor,"The Chequamegon-Nicolet National Forest covers
more than one-third of Taylor County, providing
unlimited opportunities for hiking, camping, bird
and wildlife watching, fishing and hunting. The
county’s 100 lakes, including the Mondeaux
Flowage, add another dimension of water recre-
ation.
In Medford, the county seat, you can visit the
Taylor County Historical Museum (715/748-
3808, www.medfordwis.com) featuring local history, including
logging and the military history of the 724th engineering battal-
ion. The city is also the southern trailhead for the Pine Line
Recreation Trail (800/269-4505, www.medfordwis.com), a 26-
mile railbed trail that runs north to Prentice in Price County.
In Gilman City Park you can cross the Yellow River on a
swinging bridge, the only surviving swinging bridge in the state.
West of Rib Lake, visit the Gerstberger Pines for a look at a true
remnant of old growth forest. The county also boasts sixty miles
of the Ice Age Trail, the trail’s longest unbroken stretch.
Belted Kingfisher.
MIKE MCDOWELL"
lake-superior,Vilas,"Vilas County spreads across the top of Wisconsin
like a blue and green patterned-carpet. With more
than 1,300 lakes, 73 rivers and streams, and a half
million acres of forestland, the county is the heart
of Wisconsin’s famous Lakeland Vacationland.
In Manitowish Waters, the North Lakeland
Discovery Center (877/543-2085, www.discov-
erycenter.net) offers skill programs and 20 kilome-
ters of trails for hiking, biking, X-C skiing, snow-
shoeing and wildlife watching. The 200,000-acre Northern
Highland/American Legion State Forest (715/385-2727,
www.wiparks.net) is headquartered in Boulder Junction. The
Vilas County Historical Society Museum (715/542-3388,
www.northern-wisconsin.com/museum/index.html) in Sayner
displays the world’s first snowmobile.
In Eagle River, bring the kids to the Northwoods Children’s
Museum (715/479-4623,
www.northwoodschildrensmuseum.com) for family fun in their
min-log cabin and fishing pond. See chainsaw sculptures and
more at Carl’s Wood Art Adventure (715/479-1883,
www.carlswoodart.com). Or visit the International
Snowmobile Racing Hall of Fame and Museum (715/542-
4488, www.snowmobilehalloffame.com) in St. Germain."
lake-superior,Washburn,"Some 900 lakes sparkle within the borders of
Washburn County in northwestern Wisconsin.
In Spooner, you can ride in elegant, refur-
bished railroad cars dating from 1910-30 on the
Wisconsin Great Northern Railroad (715/635-
3200, www.spoonertrainride.com). Spooner is
also the home of the Railroad Memories
Museum (715/635-3325, www.spoonerwi.com),
displaying railway
artifacts, photos, videos, equipment
and model trains in the former
C&NW depot. You can tour the
largest musky-rearing hatchery in
the world; the Governor Tommy
G. Thompson State Fish
Hatchery (715/635-4147,
www.spoonerwi.com).
In Shell Lake, just south of
Spooner, the Museum of
Woodcarving (715/468-7100,
www.washburncounty.com) dis-
plays 100 life-sized carvings depict-
ing the life of Christ, including
“The Last Supper.” In Trego, just
north of Spooner, arrange to canoe
or “tube” down the scenic
Namekagon River."
mississippi,Buffalo,"Buffalo County’s tourism focus is a string of four
charming small tow ns along the M ississippi River.
You can catch them all simply by driving Hw y. 35.
Start w ith Fountain City in southern Buffalo
County. The tow n offers pleasant vistas of the river
from its characteristic terraced gardens. Nearby,
550-foot Eagle Bluff is the highest point on the
Upper M ississippi. Just north of tow n, M errick
State Park is small (320 acres, 69 campsites) but a
haven for river anglers (608/687-4936, w w w.w iparks.net).
Buffalo City/Cochrane is the gatew ay to some terrific birding
in the Whitman Dam State Natural Area. The Prairie M oon
M useum & Sculpture Garden, a fanciful, concrete-sculpted
w onderland, is located just south of tow n (608/687-8250,
w w w.kohlerfoundation.org/rusch.html).
The riverfront tow n of Alma has only tw o streets, but they
stretch for seven miles beneath the steep bluffs of the
M ississippi. The city’s Buena Vista Park sits atop those bluffs
and offers spectacular view s. Lock & Dam No. 4 is a popular
spot to w atch the river’s barge traffic lock-through. Just north of
tow n, across the Buffalo River, the observation deck at Rieck’s
Lake Park gets crow ded in the fall w ith birders w atching the
annual migration of Tundra Sw ans.
Nelson, in northern Buffalo County, attracts visitors for that
most W isconsin of reasons – cheese. The Nelson Cheese
Factory packs ‘em in for cheddar, Colby, M onterey jack and
fresh cheese curds (715/673-4725)."
mississippi,Chippewa,"When you come birding in Chippew a County,
bring all your other outdoor gear as w ell. Bikes,
boats, snow mobiles, ATVs, hunting, fishing and
camping gear, hiking boots, cross-country skis –
you can use it all here.
Lake Wissota and Brunet Island State Parks
total 150 campsites betw een them; the Old Abe
State Trail offers 20 miles of railbed biking and
hiking; and the Chippew a M oraine Recreation Area is a trail-
head and interpretive center for the 1,000-mile National Ice Age
Trail. In the northeastern corner of the county, Lake Holcombe
is a perennial summer playground w ith 3,890-acres of w ater-
fun. Lake Wissota in the southw est is 6,300 acres and is
renow n for its bass and w alleye fishing.
On the w estern shore of Lake W issota is Chippew a Falls, the
county seat. The oldest business in tow n is the Jacob
Leinenkugel Brew ing Company. Visit the brew ery’s brand
new visitor’s center, tour the brew ery and sample the beer
(888/534-6437, w w w.leinie.com). Other tour opportunities in
tow n include the Cook-Rutledge M ansion. Built in 1873, it’s
one of the finest examples of High Victorian-Italianate architec-
ture in the M idw est (715/723-7181,
w w w.chippew achamber.org)."
mississippi,Crawford,"Knit together by meandering rivers and trout-filled
streams, Craw ford County in southw estern
W isconsin is aw ash in history.
Prairie du Chien, the county seat, straddles the
confluence of the M ississippi and W isconsin Rivers.
At the Hw y. 18 bridge, stop at the Wisconsin
Welcome Center (WCC) for free trip planning,
statew ide travel brochures, maps and a friendly
smile (608/326-2241, w w w.travelw isconsin.com).
Prairie du Chien’s varied history is captured in a number of
intriguing historic sites. Perhaps the most notable is the gracious
Villa Louis, the Victorian country estate of the Dousman family,
W isconsin’s first millionaires (866/944-7483, w w w.w isconsinhis-
tory.org/villalouis). The city is also the site of one of three his-
toric pre-civil War forts built and operated by the US Army in
W isconsin. Tour the Fort Craw ford M useum for more local
history (608/326-6960, w w w.fortcraw fordmuseum.com). If
you’re more outdoorsman than historian, there’s a Cabela’s
retail store in tow n w ith everything for the hunter, angler and
camper (608/326-5600, w w w.cabelas.com).
About tw elve miles upstream, just south of Lynxville, you can
stop at Lock & Dam No. 9 to w atch river barges and pleasure
craft lock-through.
In Wauzeka, tour the Kickapoo Indian Caverns, the largest
subterranean caverns in the state (608/875-7723,
w w w.kickapooindiancaverns.com)."
mississippi,Dunn,"Dunn County is a nice blend of tourism, agricul-
ture and industry. M enomonie, the county seat, is
an important hub made more so by UW-Stout
w hose 7,500 students are half the city’s popula-
tion. The vital dow ntow n is anchored by the his-
toric M abel Tainter M emorial Theatre, now lov-
ingly restored to its 1889 splendor w ith an art
gallery, reading room and 313-seat theater
(800/236-7675, w w w.mabeltainter.com). The
Russell J. Rassbach Heritage M useum displays a series of
themed exhibits that illuminate Dunn County history (715/232-
8685, w w w.discover-net.net/~dchs). Nearby, the city’s Wakanda
Water Park, w ith its w aterslides and fountains, is a great place
to beat summer’s heat.
The Red Cedar River transects Dunn County and is a popu-
lar tubing river. You can also bike the Red Cedar State Trail, a
14-mile former railbed trail from M enomonie south to its junc-
tion w ith the Chippew a River State Trail (715/232-1242,
w w w.w iparks.net). As you ride, you’ll pass Dow nsville, home of
Empire in Pine, a lumber-era museum w ith a village jail, post
office and blacksmith shop (715/664-8690, w w w.discover-
net.net/~dchs)."
mississippi,Eau Claire,"According to local legend, French voyageur
Jonathan Carver first shouted “ L’Eau Claire”
(“ clear w ater” ) in 1767 and so named the county,
city and river. The county’s ten lakes and 161 miles
of trout streams maintain that “ clear w ater” lega-
cy.
The city of Eau Claire is also the county seat.
Carson Park is one of the city’s outdoor jew els. Its
134 acres house the Chippew a Valley M useum,
an aw ard-w inning regional museum w ith outstanding Native
American and local history dioramas (715/834-7871,
w w w.cvmuseum.com). Next door, tour the Paul Bunyan
Logging Camp, an authentic reproduction of an 1890’s original
(715/835-6200, w w w.paulbunyancamp.org). The Fanny Hill
Victorian Inn and Dinner Theatre is a delightful restaurant
and B&B w ith professional dinner theater performances
(800/292-8026, w w w.fannyhill.com).
Eighteen miles to the east, Augusta is a much smaller, but
no less interesting destination. The community includes an
Amish settlement of more than 150 families. Their handcrafted
goods are sold at the Wood Shed (715/286-5404). Just north
of tow n is the remarkable Dells M ill, a flour mill built in 1864
entirely of w ood, including gears and pulleys (715/286-2714)."
mississippi,Grant,"Grant County fills the southw estern corner of
W isconsin w here the M ississippi River sculpts the
state’s border in a great sw eeping “ S” turn. The
attractions here are many. Start your trip at the
Wisconsin Welcome Center on Hw y. 151/61 just
north of the Hw y. 11 interchange w here you’ll find
plenty of free travel advice, literature, maps and
directions (608/748-4484, www.travelwisconsin.com).
Along the M ississippi stop in Dickeyville at a
remarkable and fanciful bit of concrete folk art, the Dickeyville
Grotto (608/568-3119, w w w.dickeyville.com). Follow Hw y. 35 a
bit further north to Potosi to see the St. John Lead M ine,
w here you can don a hard hat and tour this once ore-rich cave
(608/763-2121). Drive on to Cassville w here you can camp
along the bluffs of Nelson Dew ey State Park (608/725-5374,
w w w.w iparks.net). You can also visit Stonefield, a replica of an
1890’s rural W isconsin village (866/944-7483, w w w.w isconsin-
history.org/stonefield). In the far northw estern corner of the
county, the view s from the river bluffs above Wyalusing State
Park are special (888/947-2757, w w w.w iparks.net).
In the north, Fennimore offers the Fennimore Doll and Toy
M useum (888/867-7935) and the Fennimore Railroad
M useum w ith its narrow guage steam engine and miniature
train ride (800/822-1131.)
In the southeastern corner of the county, Platteville is home
to UW-Platteville as w ell as the M ining M useum & Rollo
Jamison M useum (608/348-3301, w w w.platteville.com). Here
you can descend into an 1845 lead mine, ride a 1931 mine"
mississippi,Jackson,"W ith nearly a third of its land in state and county
forests, Jackson County is a recreational bonanza in
the center of the state. There’s something for every-
one, and everyone’s toys.
The Black River State Forest (715/284-4103,
w w w.w iparks.net) alone covers 67,000 acres offer-
ing 34 miles of horseback riding trails, 33 miles of
mountain bike trails, 33 miles of ATV trails, 51 miles
of snow mobile trails, 27 miles of hiking trails, 24
miles of X-C ski trails, backpacking and 98 family campsites.
County forestlands cover another 118,000 acres w ith many
camping and day-use options.
The county promotes 100 miles of ATV/motorcycle trails.
There are tw o excellent canoe trails mapped and marked on the
Black River. The Wazee Lake Recreation Area encompasses
3,000 acres on w hat w as a former iron mine. Wazee Lake, the
former mine site, covers 150 acres and is 355-feet deep,
W isconsin’s deepest. The w ater clarity makes it one of the finest
scuba diving lakes in the M idw est.
Black River Falls is the county seat. You can catch a little
excitement at M ajestic Pines Hotel, Bingo & Casino
(800/657-4621, w w w.mpcw in.com). To w et your w histle, stop
at the Pioneer Brew ing Company in the historic 1856
Oderholz Brew ery building for a tour and a taste (715/284-
7553, w w w.cuttingedge.net/~pioneer)"
mississippi,La Crosse,"M uch of La Crosse County is a maze of steep ridge-
lines and valleys know n as “ coulee country.” It’s a
part of W isconsin that w as not flattened by the last
glacier some 14,000 years ago. It’s w ooded, seclud-
ed, and less traveled – practically perfect for birding.
In La Crosse, stop at the Wisconsin Welcome
Center on I-90 (eastbound) for free, statew ide trav-
el literature, maps, directions and advice (608/783-
6403, w w w.travelw isconsin.com). Grandad Bluff, a
beautiful park atop the bluffs flanking La Crosse, offers
Grandad Bluff, a beautiful park atop those bluffs, offers a
stunning view of three states: W isconsin, M innesota and Iow a.
Classic steam paddlew heelers still ply the river here: enjoy a
cruise aboard the La Crosse Queen (608/784-8523,
w w w.greatriver.com/laxqueen), or the Julia Belle Sw ain
(800/815-1005, w w w.juliabelle.com). City Brew ery, once the
Heileman’s Old Style Brew ery, offers tours (608/785-4283,
w w w.citybrew ery.com). Historians w ill like Hixon House, the
Victorian home of a former lumber baron (608/782-1980). The
kids w ill like the Children’s M useum of La Crosse (608/784-
2652, w w w.childmuseumlax.org).
Just north of I-90, Onalaska is a central trailhead for a pair
of railbed biking trails: the Great River State Trail and the
La Crosse River State Trail (608/781-9570, w w w.w iparks.net)."
mississippi,Pepin,"Pepin County is defined by Lake Pepin, a 28-mile-
long, three-mile-w ide bulge in the M ississippi
River. This natural lake is one of the most popular
sailing and boating sections on the Upper
M ississippi. It is formed by the delta of the
Chippew a River, w hich backs-up the M ississippi
much like a natural dam.
Pepin is also famous as the hometow n of Little
House in the Big Woods author Laura Ingalls
W ilder, w ho w as born on a farm near here in 1867. The tow n
celebrates its W ilder legacy year-round at the Laura Ingalls
Wilder M useum (800/442-3011, w w w.pepinw isconsin.com),
and at a w ayside replica of the W ilder “ little house.” In
September, “ Laura Days” brings special readings, look-alike con-
tests, food and fun. The tow n’s logging, steamboating and rail-
road history is hold in the Pepin Depot M useum (715/442-
6501, w w w.pepinw isconsin.com).
Aw ay from the M ississippi, the county follow s the Chippew a
River inland to Durand, the county seat, w here you’ll find a pair
of boat launches on the river, a golf course and a city sw imming
pool. Durand is also the w estern trailhead for the Chippew a
River State Trail, a 29.5-mile biking/hiking trail that follow s the
river all the w ay to Eau Claire (888/523-3866,
w w w.w iparks.net)."
mississippi,Pierce,"Pierce County is rivers; seven rivers and eight
creeks, to be exact. Walleye, bass and panfish
action is good on the M ississippi, w hile the coun-
ty’s Kinnickinnic and Rush Rivers are a pair of the
finest trout w aters in the M idw est.
The M ississippi and St. Croix Rivers form the
county’s w estern border. They meet at Prescott.
From an overlook in M ercord M ill Park dow n-
tow n, visitors can clearly see the line w here the
blue w aters of the St. Croix join the dun-colored M ississippi. The
city’s Welcome & Heritage Center is a good place to get area
travel information and see exhibits of local history (715/262-
3284, w w w.prescottw i.com).
In the northw estern corner of the county, Kinnickinnic
State Park is popular w ith boaters w ho enjoy the large, sandy
delta w here the Kinnickinnic meets the M ississippi River
(715/425-1129, w w w.w iparks.net). In the county’s northeastern
corner, visit Crystal Cave just south of Spring Valley (800/236-
2283, w w w.cavern.com/crystalcave). Open April though
October, the cave descends about seventy feet and is nearly
4,000 feet long, the longest in W isconsin."
mississippi,St. Croix,"St. Croix County is, in many w ays, W isconsin’s
w estern gatew ay. At Hudson, I-94 links the
metro-M inneapolis market w ith the lake country
of northw estern W isconsin. The Wisconsin
Welcome Center in Hudson is a great place for
statew ide and area travel information (715/386-
2571, w w w.travelw isconsin.com).
Hudson is both a center for recreation w ith
boating, fishing and sw imming, and a historic site
w ith picturesque Victorian houses and parks. The center of the
tow n’s historic district is Octagon House, built in 1855 and
now a museum (715/386-2654). The city’s thriving dow ntow n is
graced by the Phipps Center for the Arts (715/386-2305,
w w w.thephipps.org).
North of Hudson, Somerset is a fun place, particularly on hot
summer days. Tubing on the Apple River has been Somerset’s
bread-and-butter for decades. You’ll find a half-dozen friendly
tubing outfitters and campgrounds.
In northeastern St. Croix County, the New Richmond
Heritage Center show cases local history in a complex that
includes an 1884 farmhouse and eight other historic buildings
(888/320-3276, w w w.pressenter.com/~nrpsinc/). In Star Prairie,
you can tour the Star Prairie Trout Farm (715/248-3633,
w w w.starprairietrout.com). For a fee you can catch their brook
and rainbow trout."
